timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.74215E+12,482,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,2431,127,19,19,https://botometer.osome.iu.edu/faq,480,0,408
1.74215E+12,191,HTTP Request,200,OK,Thread Group 1-3,text,TRUE,,2431,127,19,19,https://botometer.osome.iu.edu/faq,190,0,122
1.74215E+12,343,HTTP Request,200,OK,Thread Group 1-2,text,TRUE,,2431,127,19,19,https://botometer.osome.iu.edu/faq,338,0,269
1.74215E+12,189,HTTP Request,200,OK,Thread Group 1-4,text,TRUE,,2431,127,18,18,https://botometer.osome.iu.edu/faq,188,0,127
1.74215E+12,195,HTTP Request,200,OK,Thread Group 1-5,text,TRUE,,2431,127,17,17,https://botometer.osome.iu.edu/faq,193,0,122
1.74215E+12,220,HTTP Request,200,OK,Thread Group 1-6,text,TRUE,,2431,127,18,18,https://botometer.osome.iu.edu/faq,219,0,150
1.74215E+12,214,HTTP Request,200,OK,Thread Group 1-7,text,TRUE,,2431,127,19,19,https://botometer.osome.iu.edu/faq,213,0,140
1.74215E+12,287,HTTP Request,200,OK,Thread Group 1-9,text,TRUE,,2431,127,18,18,https://botometer.osome.iu.edu/faq,286,0,190
1.74215E+12,211,HTTP Request,200,OK,Thread Group 1-8,text,TRUE,,2431,127,17,17,https://botometer.osome.iu.edu/faq,210,0,137
1.74215E+12,200,HTTP Request,200,OK,Thread Group 1-10,text,TRUE,,2431,127,18,18,https://botometer.osome.iu.edu/faq,199,0,137
1.74215E+12,260,HTTP Request,200,OK,Thread Group 1-11,text,TRUE,,2431,127,18,18,https://botometer.osome.iu.edu/faq,260,0,136
1.74215E+12,234,HTTP Request,200,OK,Thread Group 1-12,text,TRUE,,2431,127,18,18,https://botometer.osome.iu.edu/faq,233,0,167
1.74215E+12,180,HTTP Request,200,OK,Thread Group 1-14,text,TRUE,,2431,127,18,18,https://botometer.osome.iu.edu/faq,180,0,117
1.74215E+12,181,HTTP Request,200,OK,Thread Group 1-13,text,TRUE,,2431,127,17,17,https://botometer.osome.iu.edu/faq,180,0,118
1.74215E+12,199,HTTP Request,200,OK,Thread Group 1-15,text,TRUE,,2431,127,18,18,https://botometer.osome.iu.edu/faq,199,0,132
1.74215E+12,186,HTTP Request,200,OK,Thread Group 1-17,text,TRUE,,2431,127,19,19,https://botometer.osome.iu.edu/faq,186,0,128
1.74215E+12,181,HTTP Request,200,OK,Thread Group 1-16,text,TRUE,,2431,127,18,18,https://botometer.osome.iu.edu/faq,180,0,121
1.74215E+12,174,HTTP Request,200,OK,Thread Group 1-18,text,TRUE,,2431,127,17,17,https://botometer.osome.iu.edu/faq,173,0,114
1.74215E+12,174,HTTP Request,200,OK,Thread Group 1-19,text,TRUE,,2431,127,18,18,https://botometer.osome.iu.edu/faq,174,0,114
1.74215E+12,169,HTTP Request,200,OK,Thread Group 1-20,text,TRUE,,2431,127,17,17,https://botometer.osome.iu.edu/faq,169,0,110
1.74215E+12,179,HTTP Request,200,OK,Thread Group 1-21,text,TRUE,,2431,127,17,17,https://botometer.osome.iu.edu/faq,178,0,121
1.74215E+12,183,HTTP Request,200,OK,Thread Group 1-23,text,TRUE,,2431,127,18,18,https://botometer.osome.iu.edu/faq,182,0,121
1.74215E+12,235,HTTP Request,200,OK,Thread Group 1-22,text,TRUE,,2431,127,17,17,https://botometer.osome.iu.edu/faq,235,0,127
1.74215E+12,221,HTTP Request,200,OK,Thread Group 1-24,text,TRUE,,2431,127,18,18,https://botometer.osome.iu.edu/faq,221,0,136
1.74215E+12,324,HTTP Request,200,OK,Thread Group 1-25,text,TRUE,,2431,127,18,18,https://botometer.osome.iu.edu/faq,324,0,221
1.74215E+12,228,HTTP Request,200,OK,Thread Group 1-26,text,TRUE,,2431,127,18,18,https://botometer.osome.iu.edu/faq,227,0,150
1.74215E+12,190,HTTP Request,200,OK,Thread Group 1-27,text,TRUE,,2431,127,19,19,https://botometer.osome.iu.edu/faq,189,0,129
